=== Run information ===	

Scheme:       weka.classifiers.bayes.NaiveBayes 	
Relation:     DigitalCircuitsComboRecognizer-weka.filters.unsupervised.attribute.Remove-R2	28-61
Instances:    1640	
Attributes:   27	
              NumStrokes	
              Image_AND	
              Image_OR	
              Image_NAND	
              Image_NOR	
              Image_NOT	
              Image_NOTBUBBLE	
              Image_XOR	
              Image_LabelBox	
              Rubine_BackLine	
              Rubine_FrontArc
              Rubine_BackArc
              Rubine_TopArc
              Rubine_BottomArc
              Rubine_Bubble
              Rubine_TopLine
              Rubine_BottomLine
              Rubine_Triangle
              Rubine_GreaterThan
              Rubine_TouchUp
              Rubine_Junk
              Rubine_LabelBoxOther
              Rubine_Not_V
              Rubine_Not_Hat
              Rubine_Entire_OR
              Rubine_Entire_AND
              class											
Test mode:    10-fold cross-validation											

=== Predictions on test data ===											

 inst#	    actual	 predicted	 error	 probability distribution							
37	2:OR	2:OR		0.253	0.747	0	0	0	0	0	0
38	2:OR	2:OR		0	0.99	0	0	0	0	0	0.009
39	2:OR	2:OR		0.03	0.97	0	0	0	0	0	0
40	2:OR	2:OR		0	0.999	0	0.001	0	0	0.001	0
41	2:OR	2:OR		0.001	0.988	0	0	0	0	0.007	0.004
42	2:OR	2:OR		0.024	0.97	0	0	0.001	0	0	0.005
43	2:OR	1:AND	+	0.976	0.005	0	0	0	0	0	0.019
44	2:OR	2:OR		0	1	0	0	0	0	0	0
45	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
46	2:OR	2:OR		0	0.819	0	0.021	0.118	0	0.005	0.037
47	2:OR	2:OR		0.011	0.974	0	0.003	0.004	0	0	0.009
48	2:OR	2:OR		0	0.999	0	0.001	0	0	0.001	0
49	2:OR	2:OR		0	1	0	0	0	0	0	0
50	2:OR	8:LabelBox	+	0.03	0.363	0	0	0.222	0.004	0.001	0.38
51	2:OR	2:OR		0	1	0	0	0	0	0	0
52	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
53	2:OR	2:OR		0	1	0	0	0	0	0	0
54	2:OR	2:OR		0.03	0.97	0	0	0	0	0	0
55	2:OR	2:OR		0	1	0	0	0	0	0	0
56	2:OR	2:OR		0	1	0	0	0	0	0	0
57	2:OR	2:OR		0.253	0.747	0	0	0	0	0	0
58	2:OR	2:OR		0.423	0.574	0	0	0	0	0	0.003
59	2:OR	2:OR		0	1	0	0	0	0	0	0
60	2:OR	2:OR		0	1	0	0	0	0	0	0
61	2:OR	2:OR		0	0.999	0	0.001	0	0	0	0
62	2:OR	1:AND	+	0.782	0.215	0	0	0	0	0	0.003
63	7:XOR	7:XOR		0	0	0	0	0	0	1	0
64	7:XOR	7:XOR		0	0.032	0	0	0	0	0.968	0
65	7:XOR	7:XOR		0	0	0	0	0	0	1	0
66	7:XOR	2:OR	+	0	0.944	0	0	0	0	0.056	0
67	7:XOR	7:XOR		0	0.016	0	0	0	0	0.984	0
68	7:XOR	7:XOR		0	0	0	0	0	0	1	0
69	7:XOR	7:XOR		0	0	0	0	0	0	1	0
70	7:XOR	7:XOR		0	0.015	0	0	0	0	0.985	0
71	7:XOR	7:XOR		0	0	0	0	0	0	1	0
72	7:XOR	2:OR	+	0	0.895	0	0	0	0	0.105	0
73	7:XOR	7:XOR		0.007	0.071	0	0	0.002	0	0.914	0.005
74	7:XOR	7:XOR		0.001	0.021	0	0	0.004	0	0.966	0.008
75	7:XOR	2:OR	+	0	0.659	0	0	0.089	0	0	0.252
76	7:XOR	7:XOR		0	0	0	0	0	0	1	0
77	7:XOR	2:OR	+	0	0.998	0	0	0	0	0.002	0
78	1:AND	1:AND		1	0	0	0	0	0	0	0
79	1:AND	1:AND		1	0	0	0	0	0	0	0
80	1:AND	1:AND		1	0	0	0	0	0	0	0
81	1:AND	1:AND		1	0	0	0	0	0	0	0
82	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
83	1:AND	1:AND		1	0	0	0	0	0	0	0
84	1:AND	1:AND		1	0	0	0	0	0	0	0
85	1:AND	1:AND		0.996	0.001	0	0	0	0	0	0.003
86	1:AND	1:AND		1	0	0	0	0	0	0	0
87	1:AND	1:AND		1	0	0	0	0	0	0	0
88	1:AND	1:AND		1	0	0	0	0	0	0	0
89	1:AND	1:AND		0.555	0.033	0	0	0	0	0	0.411
90	1:AND	1:AND		1	0	0	0	0	0	0	0
91	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
92	1:AND	1:AND		1	0	0	0	0	0	0	0
93	1:AND	1:AND		1	0	0	0	0	0	0	0
94	1:AND	1:AND		0.919	0.001	0	0	0	0	0	0.08
95	1:AND	1:AND		1	0	0	0	0	0	0	0
96	1:AND	1:AND		0.755	0.031	0	0	0	0	0	0.215
97	1:AND	1:AND		0.974	0.026	0	0	0	0	0	0.001
98	1:AND	1:AND		0.997	0.001	0	0	0	0	0	0.002
99	1:AND	1:AND		1	0	0	0	0	0	0	0
100	1:AND	1:AND		0.995	0	0	0	0	0	0	0.005
101	1:AND	1:AND		1	0	0	0	0	0	0	0
102	1:AND	1:AND		0.997	0	0	0	0	0	0	0.003
103	1:AND	1:AND		0.972	0.006	0	0	0	0	0	0.022
104	1:AND	1:AND		0.981	0.019	0	0	0	0	0	0.001
105	1:AND	1:AND		0.995	0	0	0	0	0	0	0.005
106	1:AND	1:AND		1	0	0	0	0	0	0	0
107	1:AND	1:AND		0.963	0.006	0	0	0	0	0	0.031
108	1:AND	1:AND		0.889	0.006	0	0	0	0	0	0.105
109	1:AND	1:AND		0.997	0	0	0	0	0	0	0.003
110	1:AND	1:AND		0.969	0	0	0	0.001	0	0	0.03
111	1:AND	1:AND		1	0	0	0	0	0	0	0
112	1:AND	1:AND		1	0	0	0	0	0	0	0
113	1:AND	1:AND		0.998	0.002	0	0	0	0	0	0
114	1:AND	1:AND		0.993	0.007	0	0	0	0	0	0
115	1:AND	1:AND		0.989	0	0	0	0	0	0	0.011
116	1:AND	1:AND		1	0	0	0	0	0	0	0
117	1:AND	1:AND		0.909	0.088	0	0	0	0	0	0.002
118	1:AND	1:AND		0.971	0.018	0	0	0	0	0	0.011
119	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
120	1:AND	1:AND		0.757	0.066	0	0	0	0	0	0.176
121	1:AND	1:AND		0.996	0.004	0	0	0	0	0	0
122	3:NAND	4:NOR	+	0	0.001	0	0.98	0.004	0	0.002	0.013
123	3:NAND	5:NOT	+	0	0	0.016	0	0.979	0	0	0.005
124	3:NAND	8:LabelBox	+	0.002	0.001	0.066	0	0.354	0	0	0.577
125	3:NAND	3:NAND		0	0	0.982	0	0.016	0	0	0.001
126	3:NAND	3:NAND		0.001	0.001	0.462	0	0.206	0	0	0.329
127	3:NAND	4:NOR	+	0	0.001	0	0.981	0.016	0	0	0.001
128	3:NAND	3:NAND		0.001	0	0.763	0.002	0.225	0	0	0.009
129	3:NAND	1:AND	+	0.788	0	0.169	0	0.017	0	0	0.025
130	3:NAND	3:NAND		0	0	0.982	0	0.016	0	0	0.001
131	8:LabelBox	1:AND	+	0.749	0.185	0	0	0	0	0	0.066
132	8:LabelBox	8:LabelBox		0.281	0.038	0	0	0.01	0	0	0.671
133	8:LabelBox	8:LabelBox		0	0	0	0	0	0	0	1
134	8:LabelBox	8:LabelBox		0	0	0	0	0	0	0	1
135	8:LabelBox	8:LabelBox		0.088	0.001	0.001	0	0.135	0	0	0.774
136	8:LabelBox	8:LabelBox		0	0	0	0	0.17	0	0	0.83
137	8:LabelBox	8:LabelBox		0.021	0	0	0	0.089	0	0	0.888
138	8:LabelBox	8:LabelBox		0.006	0.005	0.049	0.001	0.065	0.001	0	0.874
139	8:LabelBox	8:LabelBox		0.054	0.012	0	0	0.001	0	0	0.934
140	8:LabelBox	1:AND	+	0.612	0.002	0	0	0	0	0	0.386
141	8:LabelBox	8:LabelBox		0	0	0	0	0	0	0	1
142	8:LabelBox	8:LabelBox		0.002	0	0	0	0	0	0	0.997
143	8:LabelBox	8:LabelBox		0.167	0.001	0	0	0.001	0	0	0.831
144	8:LabelBox	8:LabelBox		0	0.001	0	0	0.001	0	0	0.998
145	8:LabelBox	8:LabelBox		0.046	0.004	0.009	0.001	0.154	0	0	0.786
146	8:LabelBox	2:OR	+	0.012	0.499	0	0	0.094	0	0	0.395
147	8:LabelBox	2:OR	+	0.001	0.532	0	0.001	0	0.002	0	0.464
148	8:LabelBox	8:LabelBox		0.002	0.015	0	0	0.001	0	0	0.981
149	8:LabelBox	2:OR	+	0.101	0.6	0	0	0	0	0	0.298
150	8:LabelBox	1:AND	+	0.999	0	0	0	0	0	0	0.001
151	4:NOR	5:NOT	+	0	0.015	0	0.041	0.934	0	0.003	0.006
152	4:NOR	5:NOT	+	0	0.003	0.003	0.35	0.605	0	0	0.039
153	4:NOR	4:NOR		0	0.009	0.001	0.987	0.002	0	0.001	0
154	4:NOR	4:NOR		0	0.044	0.05	0.517	0.389	0	0	0
155	4:NOR	4:NOR		0	0.002	0	0.997	0	0	0.001	0
156	4:NOR	4:NOR		0	0	0	0.998	0.001	0	0.001	0
157	4:NOR	4:NOR		0	0.036	0	0.963	0	0	0.001	0
158	4:NOR	4:NOR		0	0.114	0	0.88	0.002	0	0.004	0
159	6:NOTBUBBL	6:NOTBUBBL		0	0.001	0	0	0.014	0.967	0	0.018
160	6:NOTBUBBL	1:AND	+	0.389	0.001	0	0	0	0.33	0	0.281
161	6:NOTBUBBL	6:NOTBUBBL		0	0.001	0	0	0	0.993	0	0.006
162	6:NOTBUBBL	8:LabelBox	+	0.09	0.049	0	0	0	0.272	0	0.589
163	6:NOTBUBBL	8:LabelBox	+	0.106	0.073	0	0	0	0.002	0	0.819
164	6:NOTBUBBL	6:NOTBUBBL		0.014	0	0	0	0	0.952	0	0.034
1	5:NOT	3:NAND	+	0	0	0.516	0	0.482	0	0	0.002
2	5:NOT	5:NOT		0	0	0.004	0	0.987	0	0	0.009
3	5:NOT	5:NOT		0	0	0	0	1	0	0	0
4	5:NOT	5:NOT		0	0.001	0	0.024	0.974	0	0	0.001
5	5:NOT	5:NOT		0	0	0	0	1	0	0	0
6	5:NOT	5:NOT		0	0	0	0	1	0	0	0
7	5:NOT	5:NOT		0	0	0	0	1	0	0	0
8	5:NOT	5:NOT		0	0	0	0	1	0	0	0
9	5:NOT	5:NOT		0	0	0.001	0	0.999	0	0	0
10	5:NOT	5:NOT		0	0	0	0.05	0.938	0	0	0.011
11	5:NOT	5:NOT		0	0	0	0	1	0	0	0
12	5:NOT	5:NOT		0	0	0	0	1	0	0	0
13	5:NOT	5:NOT		0	0	0	0	1	0	0	0
14	5:NOT	5:NOT		0.001	0.001	0.003	0	0.994	0	0	0.001
15	5:NOT	5:NOT		0	0	0	0	1	0	0	0
16	5:NOT	5:NOT		0	0	0	0	1	0	0	0
17	5:NOT	5:NOT		0	0	0	0	1	0	0	0
18	5:NOT	5:NOT		0	0	0	0	1	0	0	0
19	5:NOT	5:NOT		0	0	0	0	0.999	0	0	0.001
20	5:NOT	5:NOT		0	0	0	0	1	0	0	0
21	5:NOT	5:NOT		0	0	0	0	1	0	0	0
22	5:NOT	7:XOR	+	0	0.048	0.001	0.001	0.372	0	0.514	0.064
23	5:NOT	5:NOT		0	0.001	0	0	0.998	0	0	0.002
24	5:NOT	5:NOT		0.001	0.004	0.08	0.009	0.569	0.001	0	0.336
25	5:NOT	5:NOT		0	0	0	0	1	0	0	0
26	5:NOT	5:NOT		0	0	0	0	1	0	0	0
27	5:NOT	5:NOT		0	0	0	0	1	0	0	0
28	5:NOT	5:NOT		0	0.001	0	0	0.998	0	0	0.002
29	5:NOT	5:NOT		0	0	0	0	1	0	0	0
30	5:NOT	5:NOT		0	0	0	0	1	0	0	0
31	5:NOT	5:NOT		0	0	0.032	0	0.967	0	0	0.001
32	5:NOT	5:NOT		0	0	0	0	1	0	0	0
33	2:OR	2:OR		0.001	0.99	0	0	0.002	0	0.006	0.002
34	2:OR	2:OR		0	0.998	0	0	0	0	0.002	0
35	2:OR	1:AND	+	0.884	0.116	0	0	0	0	0	0
36	2:OR	2:OR		0	1	0	0	0	0	0	0
37	2:OR	7:XOR	+	0	0.119	0	0	0	0	0.88	0
38	2:OR	5:NOT	+	0.021	0.013	0	0	0.955	0	0	0.011
39	2:OR	1:AND	+	0.915	0.084	0	0	0	0	0	0.001
40	2:OR	2:OR		0.228	0.693	0	0	0.001	0	0	0.077
41	2:OR	2:OR		0	0.986	0	0	0	0	0.014	0
42	2:OR	2:OR		0	1	0	0	0	0	0	0
43	2:OR	2:OR		0	1	0	0	0	0	0	0
44	2:OR	1:AND	+	0.996	0.003	0	0	0	0	0	0.001
45	2:OR	2:OR		0	0.999	0	0	0	0	0.001	0
46	2:OR	2:OR		0.024	0.976	0	0	0	0	0	0
47	2:OR	2:OR		0	1	0	0	0	0	0	0
48	2:OR	2:OR		0	0.996	0	0.003	0	0	0.001	0
49	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
50	2:OR	2:OR		0	0.997	0	0	0	0	0.002	0
51	2:OR	2:OR		0	1	0	0	0	0	0	0
52	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
53	2:OR	2:OR		0	1	0	0	0	0	0	0
54	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
55	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
56	2:OR	2:OR		0	1	0	0	0	0	0	0
57	2:OR	2:OR		0.005	0.991	0	0	0	0	0	0.004
58	2:OR	2:OR		0	1	0	0	0	0	0	0
59	2:OR	2:OR		0	1	0	0	0	0	0	0
60	2:OR	2:OR		0.004	0.955	0	0	0	0.001	0.027	0.014
61	2:OR	2:OR		0.09	0.889	0	0	0	0	0	0.022
62	2:OR	2:OR		0.332	0.667	0	0	0	0	0	0.002
63	7:XOR	7:XOR		0	0.037	0	0	0	0	0.963	0
64	7:XOR	7:XOR		0	0.061	0	0	0	0	0.938	0
65	7:XOR	7:XOR		0	0	0	0	0	0	1	0
66	7:XOR	7:XOR		0	0.02	0	0	0	0	0.98	0
67	7:XOR	7:XOR		0	0	0	0	0	0	1	0
68	7:XOR	7:XOR		0	0	0	0	0	0	1	0
69	7:XOR	7:XOR		0	0.061	0	0	0	0	0.938	0
70	7:XOR	7:XOR		0	0	0	0	0	0	1	0
71	7:XOR	7:XOR		0	0	0	0	0	0	1	0
72	7:XOR	7:XOR		0	0.056	0	0	0	0	0.943	0
73	7:XOR	7:XOR		0	0.038	0	0	0	0	0.962	0
74	7:XOR	7:XOR		0.006	0.043	0	0	0.009	0	0.927	0.015
75	7:XOR	7:XOR		0	0.02	0	0	0	0	0.98	0
76	7:XOR	7:XOR		0	0	0	0	0	0	1	0
77	7:XOR	7:XOR		0	0	0	0	0	0	1	0
78	1:AND	8:LabelBox	+	0.238	0.121	0	0	0	0	0	0.64
79	1:AND	1:AND		1	0	0	0	0	0	0	0
80	1:AND	1:AND		0.996	0.003	0	0	0	0	0	0.001
81	1:AND	1:AND		1	0	0	0	0	0	0	0
82	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
83	1:AND	1:AND		1	0	0	0	0	0	0	0
84	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
85	1:AND	1:AND		0.975	0.024	0	0	0	0	0	0.001
86	1:AND	1:AND		1	0	0	0	0	0	0	0
87	1:AND	1:AND		1	0	0	0	0	0	0	0
88	1:AND	1:AND		1	0	0	0	0	0	0	0
89	1:AND	1:AND		0.993	0	0	0	0	0	0	0.007
90	1:AND	1:AND		1	0	0	0	0	0	0	0
91	1:AND	1:AND		0.895	0	0	0	0	0	0	0.105
92	1:AND	1:AND		0.984	0.001	0	0	0	0	0	0.014
93	1:AND	1:AND		1	0	0	0	0	0	0	0
94	1:AND	1:AND		0.826	0.002	0	0	0.073	0	0	0.099
95	1:AND	1:AND		0.995	0	0	0	0	0	0	0.005
96	1:AND	1:AND		0.946	0.01	0	0	0	0	0	0.044
97	1:AND	1:AND		0.986	0	0	0	0	0	0	0.014
98	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
99	1:AND	1:AND		0.568	0.004	0	0	0	0.01	0	0.419
100	1:AND	1:AND		0.985	0.011	0	0	0	0	0	0.004
101	1:AND	1:AND		0.895	0	0	0	0	0	0	0.105
102	1:AND	1:AND		0.995	0	0	0	0	0	0	0.005
103	1:AND	1:AND		1	0	0	0	0	0	0	0
104	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
105	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
106	1:AND	1:AND		0.907	0.011	0	0	0	0	0	0.083
107	1:AND	1:AND		0.895	0	0	0	0	0	0	0.105
108	1:AND	1:AND		0.999	0.001	0	0	0	0	0	0
109	1:AND	1:AND		1	0	0	0	0	0	0	0
110	1:AND	1:AND		0.895	0	0	0	0	0	0	0.105
111	1:AND	1:AND		0.999	0	0	0	0	0	0	0
112	1:AND	1:AND		0.998	0	0	0	0	0	0	0.002
113	1:AND	1:AND		1	0	0	0	0	0	0	0
114	1:AND	1:AND		0.897	0.007	0	0	0	0	0	0.095
115	1:AND	1:AND		1	0	0	0	0	0	0	0
116	1:AND	1:AND		0.995	0	0	0	0	0	0	0.005
117	1:AND	1:AND		0.989	0.001	0	0	0	0	0	0.01
118	1:AND	1:AND		0.995	0	0	0	0	0	0	0.005
119	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
120	1:AND	1:AND		0.998	0	0	0	0	0	0	0.002
121	1:AND	1:AND		1	0	0	0	0	0	0	0
122	3:NAND	3:NAND		0	0	0.98	0	0.018	0	0	0.002
123	3:NAND	3:NAND		0	0	0.98	0	0.018	0	0	0.002
124	3:NAND	3:NAND		0	0	0.951	0	0.043	0	0	0.005
125	3:NAND	3:NAND		0	0	0.98	0	0.018	0	0	0.002
126	3:NAND	5:NOT	+	0	0	0.078	0	0.869	0	0	0.052
127	3:NAND	3:NAND		0	0	0.52	0	0.351	0	0	0.129
128	3:NAND	5:NOT	+	0	0.004	0.013	0	0.89	0	0	0.093
129	3:NAND	5:NOT	+	0	0	0.173	0	0.786	0	0	0.041
130	3:NAND	8:LabelBox	+	0.081	0.013	0.391	0	0.066	0	0	0.448
131	8:LabelBox	8:LabelBox		0.101	0.154	0	0	0	0	0	0.744
132	8:LabelBox	8:LabelBox		0	0	0.001	0	0	0	0	0.998
133	8:LabelBox	8:LabelBox		0.195	0	0.006	0	0.011	0	0	0.789
134	8:LabelBox	8:LabelBox		0.008	0.109	0	0	0.084	0	0	0.799
135	8:LabelBox	8:LabelBox		0.028	0.001	0.025	0.001	0.172	0	0	0.774
136	8:LabelBox	8:LabelBox		0.004	0	0	0	0	0	0	0.996
137	8:LabelBox	8:LabelBox		0.465	0.004	0	0	0	0	0	0.53
138	8:LabelBox	8:LabelBox		0.004	0	0	0	0	0	0	0.995
139	8:LabelBox	8:LabelBox		0.001	0.005	0	0	0.001	0.001	0	0.993
140	8:LabelBox	8:LabelBox		0	0	0	0	0	0	0	1
141	8:LabelBox	5:NOT	+	0.012	0.024	0	0	0.502	0	0	0.462
142	8:LabelBox	8:LabelBox		0	0	0	0	0	0	0	1
143	8:LabelBox	8:LabelBox		0.022	0.025	0	0	0	0	0	0.953
144	8:LabelBox	8:LabelBox		0.249	0.003	0	0	0.001	0	0	0.747
145	8:LabelBox	8:LabelBox		0	0.001	0.002	0	0.201	0	0	0.796
146	8:LabelBox	8:LabelBox		0.372	0.144	0	0	0	0	0	0.485
147	8:LabelBox	5:NOT	+	0.003	0.014	0	0	0.617	0	0	0.367
148	8:LabelBox	1:AND	+	0.895	0	0	0	0	0	0	0.105
149	8:LabelBox	1:AND	+	0.895	0	0	0	0	0	0	0.105
150	8:LabelBox	8:LabelBox		0.445	0.002	0	0	0	0	0	0.553
151	4:NOR	5:NOT	+	0	0.05	0	0.006	0.938	0	0.001	0.005
152	4:NOR	4:NOR		0	0.01	0.007	0.979	0.003	0	0.001	0
153	4:NOR	4:NOR		0	0.006	0	0.993	0	0	0.001	0
154	4:NOR	4:NOR		0	0.091	0.146	0.739	0.021	0	0	0.003
155	4:NOR	3:NAND	+	0	0.219	0.539	0.217	0.019	0	0.001	0.005
156	4:NOR	4:NOR		0.001	0.076	0.175	0.369	0.345	0	0	0.035
157	4:NOR	2:OR	+	0.002	0.532	0.001	0.297	0.152	0	0	0.016
158	4:NOR	4:NOR		0	0.001	0	0.998	0	0	0.001	0
159	6:NOTBUBBL	6:NOTBUBBL		0.021	0	0	0	0	0.931	0	0.047
160	6:NOTBUBBL	6:NOTBUBBL		0.021	0	0	0	0	0.931	0	0.047
161	6:NOTBUBBL	6:NOTBUBBL		0	0	0	0	0.001	0.989	0	0.009
162	6:NOTBUBBL	6:NOTBUBBL		0	0.001	0	0	0.002	0.992	0	0.005
163	6:NOTBUBBL	6:NOTBUBBL		0	0	0	0	0.001	0.984	0	0.014
164	6:NOTBUBBL	6:NOTBUBBL		0	0	0	0	0.005	0.989	0	0.006
1	5:NOT	5:NOT		0	0	0	0	1	0	0	0
2	5:NOT	5:NOT		0	0.004	0.002	0.002	0.969	0	0	0.023
3	5:NOT	5:NOT		0	0	0	0	1	0	0	0
4	5:NOT	5:NOT		0	0	0	0	1	0	0	0
5	5:NOT	5:NOT		0	0	0	0	0.997	0	0	0.003
6	5:NOT	5:NOT		0	0	0	0	1	0	0	0
7	5:NOT	5:NOT		0.001	0	0.021	0	0.977	0	0	0.001
8	5:NOT	5:NOT		0	0	0.024	0	0.976	0	0	0
9	5:NOT	5:NOT		0	0.001	0	0	0.997	0	0	0.002
10	5:NOT	5:NOT		0	0	0	0	1	0	0	0
11	5:NOT	5:NOT		0	0	0	0	1	0	0	0
12	5:NOT	5:NOT		0	0	0	0	1	0	0	0
13	5:NOT	5:NOT		0	0	0	0	1	0	0	0
14	5:NOT	8:LabelBox	+	0	0.001	0	0	0.382	0	0	0.617
15	5:NOT	5:NOT		0	0	0	0	1	0	0	0
16	5:NOT	5:NOT		0	0	0	0	1	0	0	0
17	5:NOT	5:NOT		0	0	0	0	1	0	0	0
18	5:NOT	5:NOT		0	0.001	0.104	0.001	0.789	0	0	0.106
19	5:NOT	5:NOT		0	0	0	0	1	0	0	0
20	5:NOT	5:NOT		0	0	0	0	1	0	0	0
21	5:NOT	5:NOT		0	0	0	0	1	0	0	0
22	5:NOT	5:NOT		0	0	0	0	0.981	0	0	0.018
23	5:NOT	5:NOT		0	0	0	0	1	0	0	0
24	5:NOT	5:NOT		0	0	0	0	0.996	0	0	0.004
25	5:NOT	5:NOT		0	0	0	0	1	0	0	0
26	5:NOT	5:NOT		0	0	0.016	0	0.973	0	0	0.011
27	5:NOT	4:NOR	+	0.001	0.007	0.055	0.731	0.008	0.001	0	0.197
28	5:NOT	5:NOT		0	0	0	0	1	0	0	0
29	5:NOT	5:NOT		0	0	0	0	1	0	0	0
30	5:NOT	5:NOT		0	0	0	0	1	0	0	0
31	5:NOT	5:NOT		0	0	0	0	1	0	0	0
32	5:NOT	8:LabelBox	+	0	0.101	0	0.008	0.279	0	0	0.61
33	2:OR	2:OR		0.018	0.451	0	0	0.217	0	0.001	0.313
34	2:OR	2:OR		0.004	0.996	0	0	0	0	0	0
35	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
36	2:OR	2:OR		0.057	0.94	0	0	0	0	0	0.003
37	2:OR	2:OR		0	1	0	0	0	0	0	0
38	2:OR	2:OR		0	0.999	0	0	0	0	0.001	0
39	2:OR	2:OR		0.003	0.993	0	0	0	0	0	0.004
40	2:OR	2:OR		0	0.997	0	0	0	0	0.002	0.001
41	2:OR	2:OR		0.014	0.986	0	0	0	0	0	0
42	2:OR	8:LabelBox	+	0.013	0.187	0	0	0.001	0	0	0.799
43	2:OR	2:OR		0.004	0.996	0	0	0	0	0	0
44	2:OR	2:OR		0.275	0.725	0	0	0	0	0	0
45	2:OR	2:OR		0.012	0.986	0	0	0	0	0	0.002
46	2:OR	2:OR		0	1	0	0	0	0	0	0
47	2:OR	2:OR		0.004	0.954	0	0	0	0	0.027	0.016
48	2:OR	2:OR		0.001	0.985	0	0	0	0	0.014	0
49	2:OR	2:OR		0	1	0	0	0	0	0	0
50	2:OR	2:OR		0	1	0	0	0	0	0	0
51	2:OR	2:OR		0.166	0.421	0	0	0.104	0	0	0.309
52	2:OR	2:OR		0	0.998	0	0	0	0	0	0.002
53	2:OR	1:AND	+	0.88	0.11	0	0	0	0	0	0.01
54	2:OR	2:OR		0	0.998	0	0	0	0	0.002	0
55	2:OR	2:OR		0	1	0	0	0	0	0	0
